United States COVID-19 Cases and Deaths by State
Date generated: Sat Sep 12 2020 23:22:01 GMT-0400 (Eastern Daylight Time)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Death Rate per 100000
Alaska,6113,null,null,527,829,43,null,null,5
Alabama,136703,124097,12606,6310,2797,2333,2204,129,47
Arkansas,68983,null,null,4305,2289,953,null,null,31
American Samoa,0,null,null,0,0,0,null,null,0
Arizona,207523,205642,1881,2842,2894,5288,5014,274,73
California,746191,null,null,23908,1886,14089,null,null,35
Colorado,60492,56378,4114,1837,1062,1985,1634,351,34
Connecticut,54326,52095,2231,961,1521,4480,3595,885,125
District of Columbia,14493,null,null,307,2063,616,null,null,87
Delaware,18559,17568,991,667,1919,613,541,72,63
Florida,650922,null,null,17862,3056,12502,null,null,58
Federated States of Micronesia,0,0,0,0,0,0,null,null,0
Georgia,290781,null,null,11427,2764,6246,null,null,59
Guam,1863,null,null,244,1124,23,null,null,13
Hawaii,9838,null,null,1065,693,96,null,null,6
Iowa,73070,null,null,4814,2315,1212,null,null,38
Idaho,34950,32228,2722,1754,1992,412,375,37,23
Illinois,259883,257788,2095,12584,2040,8505,8273,232,66
Indiana,103505,null,null,5621,1547,3420,3196,224,51
Kansas,48386,46626,1760,3166,1662,511,null,null,17
Kentucky,55704,49979,5725,4027,1247,1044,1035,9,23
Louisiana,157109,null,null,4740,3372,5202,5032,170,111
Massachusetts,132098,122202,9896,2283,1914,9179,8971,208,132
Maryland,115533,null,null,3926,1912,3836,3693,143,63
Maine,4834,4349,485,167,361,135,null,null,10
Michigan,122251,110832,11419,5956,1224,6900,6578,322,69
Minnesota,82716,null,null,3750,1474,1949,1897,52,34
Missouri,99160,null,null,8945,1619,1701,null,null,27
Northern Mariana Islands,60,60,0,2,0,2,2,0,3
Mississippi,89620,84242,5378,3681,3001,2685,2502,183,89
Montana,8925,8925,0,906,840,133,133,0,12
North Carolina,182286,null,null,8032,1756,3023,null,null,29
North Dakota,15151,null,null,1817,1993,167,null,null,21
Nebraska,37841,null,null,2180,1961,434,null,null,22
New Hampshire,7620,null,null,252,562,434,null,null,32
New Jersey,195888,null,null,2466,2199,16023,14234,1789,179
New Mexico,26563,null,null,661,1268,818,null,null,39
Nevada,73051,null,null,2088,2407,1474,null,null,48
New York,205539,null,null,3003,1844,8986,null,null,80
New York City,238522,233216,5306,2159,2840,23743,19120,4623,282
Ohio,135326,128297,7029,6882,1158,4403,4110,293,37
Oklahoma,74138,67642,6496,7270,1880,888,888,0,22
Oregon,28865,27498,1367,1264,689,499,486,13,11
Pennsylvania,142885,138759,4126,5223,1116,7837,null,null,61
Puerto Rico,37092,17598,19494,2600,1161,535,370,165,16
Palau,0,null,null,0,0,0,null,null,0
Rhode Island,22905,null,null,662,2166,1071,null,null,101
Republic of Marshall Islands,0,0,0,0,0,0,null,null,0
South Carolina,129046,126792,2254,5721,2538,3028,2877,151,59
South Dakota,16117,null,null,1521,1827,177,175,2,20
Tennessee,169859,165009,4850,9262,2509,2025,1957,68,29
Texas,653356,null,null,22527,2276,13997,null,null,48
Utah,57511,57034,477,2865,1819,433,433,0,13
Virginia,132940,126850,6090,7213,1561,2722,2589,133,31
Virgin Islands,1211,null,null,44,1157,19,null,null,18
Vermont,1681,null,null,39,268,58,null,null,9
Washington,79011,null,null,2676,1048,1991,null,null,26
Wisconsin,91625,86250,5375,7161,1576,1205,1197,8,20
West Virginia,12174,11900,274,1137,674,263,null,null,14
Wyoming,4264,3605,659,275,738,42,42,0,7
United States of America,6427058,2363461,125100,245584,1961,192388,103153,10536,58
